time,pdr,latency,vehicle_count
100,0.0,20,4
200,9.523809523809524,20,7
300,38.18181818181819,20,10
400,59.09090909090909,20,12
500,70.07874015748031,20,15
600,75.0,20,17
700,83.73983739837398,20,20
800,90.81967213114754,20,21
900,97.20101781170484,20,23
1000,107.31182795698923,20,25
1100,115.31365313653137,20,27
1200,126.21951219512195,20,30
1300,127.52659574468086,20,34
1400,133.29439252336448,20,36
1500,148.75373878364906,20,38
1600,162.76785714285717,20,40
1700,178.00161160354554,20,42
1800,202.70078180525942,20,43
1900,217.17631750162653,20,44
2000,226.87013764213043,20,46
2100,240.7766990291262,20,46
2200,247.0205307961943,20,49
2300,253.26492537313433,20,51
2400,262.3139089749043,20,53
2500,266.4806695894779,20,54
2600,272.1182634730539,20,54
2700,279.4738663897542,20,54
2800,280.7679684936003,20,54
