time,pdr,latency,vehicle_count
100,0.0,20,4
200,4.761904761904762,20,7
300,36.36363636363637,20,10
400,56.81818181818182,20,12
500,69.29133858267717,20,15
600,72.91666666666666,20,17
700,79.67479674796748,20,20
800,88.19672131147541,20,21
900,96.43765903307889,20,23
1000,105.80645161290323,20,25
1100,113.83763837638377,20,27
1200,123.6280487804878,20,30
1300,126.59574468085107,20,34
1400,133.52803738317758,20,36
1500,146.26121635094717,20,38
1600,160.17857142857144,20,40
1700,175.6647864625302,20,42
1800,198.72068230277185,20,43
1900,213.40273259596617,20,44
2000,222.5613405146619,20,46
2100,235.81445523193096,20,46
2200,242.663995993991,20,49
2300,248.4141791044776,20,51
2400,256.91195236069757,20,53
2500,261.45874850538064,20,54
2600,267.25299401197606,20,54
2700,275.147109726549,20,54
2800,276.40301936330815,20,54
2900,278.8227966365618,20,56
3000,283.9801575722206,20,53
